Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY
3/21/2019,SHR,8:44,1,12.4,0.4,108,142,7.64,10.35,20.7,TRUE,1978.4,0.05,1487.6,0.09,981.2,0.24,496.6,1.3,20.4,WY19
3/28/2019,STTD,10:00,1,14,0.28,349,441,8.13,9.02,23.3,TRUE,1604.8,0.05,1229,0.17,806.7,0.42,401.6,1.22,19.4,WY19
3/29/2019,SHR,9:05,1,11.5,0.3,98,124,7.69,10.66,23.4,TRUE,2048,0.03,1542.6,0.06,1022,0.27,512.2,1.16,20.8,WY19
4/3/2019,STTD,10:25,1,14.9,0.35,182,225,7.84,8.83,24.8,TRUE,2184,0.07,1636.2,0.2,1082.5,0.38,556.3,1.19,45.65,WY19
4/4/2019,SHR,9:25,1,12.6,0.4,88,115,7.47,10.44,17.9,TRUE,814.8,0.02,614.1,0.04,409.3,0.38,203.1,1.5,11.6,WY19
4/8/2019,STTD,9:56,1,16.6,0.32,161,191,7.75,8.73,22.4,TRUE,2258,0.1,1621,0.31,1140,0.62,583,1.52,34,WY19
4/9/2019,SHR,9:10,1,12.8,0.35,78,101,7.77,10.69,21.3,TRUE,2143,0.06,1608.6,0.16,1070.6,0.38,535.1,1.4,22.55,WY19
4/15/2019,STTD,11:06,1,,0.21,,,7.78,13.16,39.9,TRUE,565,0.05,426.3,0.1,285.3,0.3,142.02,0.48,55.95,WY19
4/16/2019,SHR,9:13,1,11,0.4,76,104,7.53,10.61,18.3,TRUE,1843,0.09,1375.9,0.22,921.4,0.58,460.02,1.62,27,WY19
4/23/2019,SHR,9:10,1,15.3,0.5,96,118,7.87,10.01,16.7,TRUE,1901.07,0.06,1421.7,0.24,946.1,0.54,474.6,1.84,18.8,WY19
4/22/2019,STTD,9:58,1,17.8,0.33,283,328,8.02,8.11,23.1,TRUE,2242,0.08,1642.4,0.17,1117,0.35,565.7,1.19,23,WY19
7/2/2019,SHR,9:56,1,20.3,1.23,87,96,7.79,8.86,7.8,TRUE,2229,0.03,1634,0.36,1122,1.07,550,1.93,178,WY19
7/1/2019,STTD,9:27,1,22.2,0.3,259,274,8.62,7.68,26.2,TRUE,2101,0.08,1158,0.2,1052.2,0.36,520.7,1.31,21.8,WY19
6/17/2019,STTD,10:15,1,21.8,0.29,375,399,8.38,7.14,28.6,TRUE,2147,0.05,1620.2,0.15,1070.1,0.32,535,1.1,21.73,WY19
6/18/2019,SHR,9:36,1,19.5,1.2,95,106,6.9,9,6.8,TRUE,2318,0.04,1739.2,0.27,1160.9,0.92,577.9,2,131.16,WY19
7/15/2019,STTD,9:23,1,24,0.33,218,222,8.45,7.39,24.4,TRUE,2034,0.06,1534,0.16,1011,0.36,508,1.54,20.35,WY19
7/16/2019,SHR,9:40,1,22,1.01,100,106,7.78,8.48,9.1,TRUE,1466.3,0.06,1467.7,0.49,734.5,0.97,371.6,2.19,82.21,WY19
8/5/2019,SHR,9:14,1,21.2,1.4,104,112,7.76,8.67,8,TRUE,2335,0.06,1746,0.23,1165,0.86,589,2.22,120,WY19
8/7/2019,STTD,12:39,1,24.1,0.4,191,194,8.62,7.87,21.1,TRUE,2354,0.03,1700.9,0.22,1163.6,0.44,586,1.71,24.58,WY19
8/7/2019,STTD,12:49,1,24.1,0.4,191,194,8.62,7.87,21.1,TRUE,,,,,,,,,,WY19
8/19/2019,SHR,10:00,1,20.6,1,104,114,7.5,8.7,9.3,TRUE,2212,0.05,1643,0.28,1128,0.93,553,2.1,135,WY19
8/21/2019,STTD,12:20,1,23.9,0.32,187,192,8.55,8.07,22.3,TRUE,2438,0.06,1847.2,0.29,1224,0.58,607.7,1.66,24.47,WY19
9/4/2019,STTD,12:02,1,24.9,0.26,546,547,7.81,5.73,26.6,TRUE,2847,0.07,2129,0.21,1421.6,0.41,716.5,1.13,28.77,WY19
9/5/2019,SHR,9:45,1,19.9,1,110,122,7.41,8.86,10.2,TRUE,982.4,0.02,736.7,0.05,499.4,0.3,246.2,2.48,19.38,WY19
9/16/2019,SHR,9:40,1,18.5,1.2,107,122,7.44,9.22,6.3,TRUE,259.1,0.02,193.42,0.05,130.66,0.65,64.3,2.19,11.6,WY19
9/18/2019,STTD,11:59,1,21.8,0.3,569,606,7.79,6.03,27.6,TRUE,2394,0.08,1786,0.13,1194,0.48,590.7,1.45,23,WY19
9/30/2019,SHR,9:23,1,16.6,1.8,96,114,7.31,9.23,9.5,TRUE,2218,0.04,1654.5,0.1,1196,0.65,557.7,2.19,94.3,WY19
5/20/2019,STTD,10:10,1,16.6,0.21,559,666,7.83,6.74,36.1,FALSE,,,,,,,,,,WY19
10/4/2016,LIS,10:31,,17.47,0.2,200,233,7.45,6.48,75.9,FALSE,,,,,,,,,,
10/18/2016,LIS,9:27,,16.94,0.2,183,216,7.22,8.01,55.8,FALSE,,,,,,,,,,
10/31/2016,LIS,11:27,,16.9,0.23,198,235,7.56,6.88,48.2,FALSE,,,,,,,,,,
11/14/2016,LIS,10:48,,16.6,0.21,295.4,351.5,7.55,4.52,38.1,FALSE,,,,,,,,,,
11/21/2016,LIS,10:07,,14,0.17,294.8,373.5,7.03,5.53,43.9,FALSE,,,,,,,,,,
11/28/2016,LIS,11:31,,11.3,0.35,563,763,7.71,7.54,24.7,FALSE,,,,,,,,,,
12/13/2016,LIS,12:39,1,10.5,0.25,450,623,7.67,6.23,41.7,FALSE,,,,,,,,,,
12/20/2016,LIS,9:02,1,8.2,0.14,87,129,7.42,8.72,87.3,FALSE,,,,,,,,,,
12/21/2016,LIS,15:31,1,8.8,0.18,94,136,7.49,8.66,56.8,FALSE,,,,,,,,,,
12/27/2016,LIS,13:08,1,6.6,0.26,308,472,7.9,9.21,42.2,FALSE,,,,,,,,,,
1/11/2017,LIS,12:26,1,10.3,0.12,49,67,7.47,10.42,90.3,FALSE,,,,,,,,,,
1/18/2017,LIS,15:50,,8.2,0.21,74,109,7.4,10.65,54.3,FALSE,,,,,,,,,,
